iter	Passed	Remaining
360	739	1308
361	740	1304
362	742	1303
363	743	1299
364	744	1295
365	745	1292
366	748	1290
367	749	1287
368	751	1284
369	752	1280
370	753	1278
371	755	1275
372	757	1272
373	758	1269
374	759	1266
375	761	1263
376	762	1260
377	763	1256
378	764	1252
379	766	1250
380	767	1247
381	769	1244
382	769	1240
383	771	1236
384	773	1235
385	774	1232
386	775	1228
387	776	1225
388	777	1221
389	780	1220
390	781	1217
391	782	1213
392	783	1210
393	785	1207
394	786	1205
395	788	1202
396	789	1199
397	790	1195
398	792	1193
399	794	1191
400	795	1187
401	796	1184
402	797	1181
403	799	1179
404	800	1176
405	801	1173
406	803	1170
407	804	1167
408	806	1165
409	807	1161
410	808	1158
411	810	1156
412	812	1155
413	814	1152
414	815	1149
415	817	1147
416	819	1146
417	821	1143
418	824	1142
419	825	1140
420	826	1137
421	830	1137
422	832	1135
423	834	1133
424	835	1131
425	838	1130
426	840	1127
427	842	1125
428	844	1124
429	846	1122
430	848	1119
431	849	1117
432	851	1114
433	853	1112
434	855	1110
435	856	1107
436	857	1104
437	859	1102
438	860	1100
439	862	1097
440	863	1094
441	864	1091
442	867	1090
443	869	1088
444	871	1086
445	873	1084
446	875	1083
447	877	1081
448	879	1079
449	880	1076
450	881	1073
451	882	1070
452	884	1067
453	885	1065
454	887	1063
